Rank,University,Town,additional_info,overview,university_identity,university_location
163,Maulana Azad National Institute of Technology,Bhopal,"{'name': 'Maulana Azad National Institute of Technology', 'logo': 'https://www.4icu.org/i/logos-seals/7351.png', 'country_rank': '163', 'world_rank': '5747', 'details_link': 'https://www.manit.ac.in'}","Founded in 1960,  the Maulana Azad National Institute of Technology is a non-profit public higher education institution located in the urban setting of the metropolis of Bhopal (population range of 1,000,000-5,000,000 inhabitants), Madhya Pradesh.   Officially recognized by the Department of Higher Education of the Ministry of Human Resources Development of India, Maulana Azad National Institute of Technology (MANIT) is a very small-sized (uniRank enrollment range: 1,000-1,999 students) coeducational Indian higher education institution. Maulana Azad National Institute of Technology (MANIT) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 64-year-old Indian higher-education institution has a selective admission policy based on entrance examinations. International students are welcome to apply for enrollment.  MANIT also provides several academic and non-academic facilities and services to students including a library,  sports facilities,  as well as administrative services.","{'name': 'Maulana Azad National Institute of Technology', 'non_latin_name': 'मौलाना आज़ाद राष्ट्रीय प्रौद्योगिकी संस्थान', 'acronym': 'MANIT', 'founded': '1960', 'website': 'https://www.manit.ac.in', 'screenshot': '/i/screenshots/7351.jpg'}","{'street_address': 'MANIT Campus', 'locality': 'Bhopal ', 'postal_code': '462 051', 'region': 'Madhya Pradesh', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/7351-maulana-azad-national-institute-of-technology/'}"
84,"Maulana Abul Kalam Azad University of Technology, West Bengal",Kolkata,"{'name': 'Maulana Abul Kalam Azad University of Technology, West Bengal', 'logo': 'https://www.4icu.org/i/logos-seals/7382.png', 'country_rank': '84', 'world_rank': '4092', 'details_link': 'https://makautwb.ac.in'}","Established in 2001,  the Maulana Abul Kalam Azad University of Technology, West Bengal is a non-profit public higher education institution located in the urban setting of the large metropolis of Kolkata (population range of over 5,000,000 inhabitants), West Bengal.   Officially recognized by the University Grants Commission of India, Maulana Abul Kalam Azad University of Technology, West Bengal (MAKAUTWB) is a very large-sized (uniRank enrollment range: over-50,000 students) coeducational Indian higher education institution. Maulana Abul Kalam Azad University of Technology, West Bengal (MAKAUTWB) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 23-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  The acceptance rate range is 40-49% making this Indian higher education organization an averagely selective institution.  MAKAUTWB also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'Maulana Abul Kalam Azad University of Technology, West Bengal', 'non_latin_name': 'মৌলানা আবুল কালাম আজাদ প্রযুক্তি বিশ্ববিদ্যালয়, পশ্চিমবঙ্গ', 'acronym': 'MAKAUTWB', 'founded': '2001', 'website': 'https://makautwb.ac.in', 'screenshot': '/i/screenshots/7382.jpg'}","{'street_address': 'BF-142, Saltlake Sector - I, Bidhannagar', 'locality': 'Kolkata ', 'postal_code': '700 064', 'region': 'West Bengal', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/7382-maulana-abul-kalam-azad-university-of-technology-west-bengal/'}"
576,MATS University,Aarang,"{'name': 'MATS University', 'logo': 'https://www.4icu.org/i/logos-seals/14332.png', 'country_rank': '576', 'world_rank': '9902', 'details_link': 'https://matsuniversity.ac.in'}","Established in 2006,  the MATS University is a  private higher education institution located in the rural setting of the large city of Aarang (population range of 500,000-1,000,000 inhabitants), Chhattisgarh.   Officially recognized by the University Grants Commission of India, MATS University  is a large-sized (uniRank enrollment range: 10,000-14,999 students) coeducational Indian higher education institution. MATS University offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 17-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  MATS University also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'MATS University', 'non_latin_name': 'मैट्स विश्वविद्यालय', 'acronym': None, 'founded': '2006', 'website': 'https://matsuniversity.ac.in', 'screenshot': '/i/screenshots/14332.jpg'}","{'street_address': 'Aarang-Kharora Highway, Gram - Gullu', 'locality': 'Aarang ', 'postal_code': '493 441', 'region': 'Chhattisgarh', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/14332-mats-university/'}"
374,Marwadi University,Rajkot,"{'name': 'Marwadi University', 'logo': 'https://www.4icu.org/i/logos-seals/17630.png', 'country_rank': '374', 'world_rank': '8279', 'details_link': 'https://www.marwadiuniversity.ac.in'}","Established in 2016,  the Marwadi University is a non-profit private higher education institution located in the urban setting of the metropolis of Rajkot (population range of 1,000,000-5,000,000 inhabitants), Gujarat.   Officially recognized by the University Grants Commission of India, Marwadi University (MU) is a small-sized (uniRank enrollment range: 4,000-4,999 students) coeducational Indian higher education institution. Marwadi University (MU) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 8-year-old Indian higher-education institution has a selective admission policy based on entrance examinations and students' past academic records and grades.  The acceptance rate range is 90-99% making this Indian higher education organization a least selective institution. International applicants are eligible to apply for enrollment.  MU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  as well as administrative services.","{'name': 'Marwadi University', 'non_latin_name': 'મારવાડી યુનિવર્સિટી', 'acronym': 'MU', 'founded': '2016', 'website': 'https://www.marwadiuniversity.ac.in', 'screenshot': '/i/screenshots/17630.jpg'}","{'street_address': 'Morbi Road, Gauridad', 'locality': 'Rajkot ', 'postal_code': '360 003', 'region': 'Gujarat', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/17630-marwadi-university/'}"
669,Martin Luther Christian University,Shillong,"{'name': 'Martin Luther Christian University', 'logo': 'https://www.4icu.org/i/logos-seals/14357.png', 'country_rank': '669', 'world_rank': '10520', 'details_link': 'https://www.mlcuniv.in'}","Founded in 2005,  the Martin Luther Christian University is a  private higher education institution located in the urban setting of the medium city of Shillong (population range of 250,000-499,999 inhabitants), Meghalaya.   Officially recognized by the University Grants Commission of India, Martin Luther Christian University (MLCU) is a coeducational Indian higher education institution formally affiliated with the Christian-Lutheran religion. Martin Luther Christian University (MLCU) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 19-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  MLCU also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'Martin Luther Christian University', 'non_latin_name': 'मार्टिन लूथर ईसाई विश्वविद्यालय', 'acronym': 'MLCU', 'founded': '2005', 'website': 'https://www.mlcuniv.in', 'screenshot': '/i/screenshots/14357.jpg'}","{'street_address': 'Block I, Dongktieh, Nongrah', 'locality': 'Shillong ', 'postal_code': '793 001', 'region': 'Meghalaya', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/14357-martin-luther-christian-university/'}"
875,Manipur University of Culture,Imphal,"{'name': 'Manipur University of Culture', 'logo': 'https://www.4icu.org/i/logos-seals/17780.png', 'country_rank': '875', 'world_rank': '12640', 'details_link': 'https://muc.ac.in'}","Established in 2016,  the Manipur University of Culture is a non-profit public higher education institution located in the metropolis of Imphal (population range of 1,000,000-5,000,000 inhabitants), Manipur.   Officially recognized by the University Grants Commission of India, Manipur University of Culture (MUC) is a coeducational Indian higher education institution. Manipur University of Culture (MUC) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 8-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  MUC also provides several academic and non-academic facilities and services to students including  as well as administrative services.","{'name': 'Manipur University of Culture', 'non_latin_name': 'मणिपुर संस्कृति विश्वविद्यालय', 'acronym': 'MUC', 'founded': '2016', 'website': 'https://muc.ac.in', 'screenshot': '/i/screenshots/17780.jpg'}","{'street_address': 'Palace Compound, Beside BOAT', 'locality': 'Imphal ', 'postal_code': '795 001', 'region': 'Manipur', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/17780-manipur-university-of-culture/'}"
267,Manonmaniam Sundaranar University,Tirunelveli,"{'name': 'Manonmaniam Sundaranar University', 'logo': 'https://www.4icu.org/i/logos-seals/2071.png', 'country_rank': '267', 'world_rank': '7269', 'details_link': 'https://www.msuniv.ac.in'}","Founded in 1990,  the Manonmaniam Sundaranar University is a non-profit public higher education institution located in the rural setting of the large city of Tirunelveli (population range of 500,000-1,000,000 inhabitants), Tamil Nadu.   Officially recognized by the University Grants Commission of India, Manonmaniam Sundaranar University (MSU) is a very large-sized (uniRank enrollment range: over-50,000 students) coeducational Indian higher education institution. Manonmaniam Sundaranar University (MSU) offers courses and programs leading to officially recognized higher education degrees such as pre-bachelor's degrees (i.e. certificates, diplomas, associate or foundation), bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 34-year-old Indian higher-education institution has a selective admission policy based on entrance examinations and students' past academic records and grades.  The acceptance rate range is 30-39% making this Indian higher education organization a very selective institution. International students are welcome to apply for enrollment.  MSU also provides several academic and non-academic facilities and services to students including a library,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","{'name': 'Manonmaniam Sundaranar University', 'non_latin_name': 'மனோன்மணியம் சுந்தரனார் பல்கலைக்கழகம்', 'acronym': 'MSU', 'founded': '1990', 'website': 'https://www.msuniv.ac.in', 'screenshot': '/i/screenshots/2071.jpg'}","{'street_address': 'Abishekapatti', 'locality': 'Tirunelveli ', 'postal_code': '627 012', 'region': 'Tamil Nadu', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/2071-manonmaniam-sundaranar-university/'}"
309,Manipur University,Imphal,"{'name': 'Manipur University', 'logo': 'https://www.4icu.org/i/logos-seals/2070.png', 'country_rank': '309', 'world_rank': '7627', 'details_link': 'https://www.manipuruniv.ac.in'}","Established in 1980,  the Manipur University is a non-profit public higher education institution located in the rural setting of the metropolis of Imphal (population range of 1,000,000-5,000,000 inhabitants), Manipur.   Officially recognized by the University Grants Commission of India, Manipur University (MU) is a very small-sized (uniRank enrollment range: 1,000-1,999 students) coeducational Indian higher education institution. Manipur University (MU) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 44-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  The acceptance rate range is 40-49% making this Indian higher education organization an averagely selective institution.  MU also provides several academic and non-academic facilities and services to students including a library,  sports facilities,  as well as administrative services.","{'name': 'Manipur University', 'non_latin_name': 'मणिपुर विश्वविद्यालय', 'acronym': 'MU', 'founded': '1980', 'website': 'https://www.manipuruniv.ac.in', 'screenshot': '/i/screenshots/2070.jpg'}","{'street_address': 'Canchipur', 'locality': 'Imphal ', 'postal_code': '795 003', 'region': 'Manipur', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/2070-manipur-university/'}"
879,Manipur International University,Imphal,"{'name': 'Manipur International University', 'logo': 'https://www.4icu.org/i/logos-seals/18925.png', 'country_rank': '879', 'world_rank': '12796', 'details_link': 'https://www.miu.ac'}","Founded in 2019,  the Manipur International University is a non-profit public higher education institution located in the medium city of Imphal (population range of 250,000-499,999 inhabitants), Manipur.   Officially recognized by the University Grants Commission of India, Manipur International University (MIU) is a coeducational Indian higher education institution. Manipur International University (MIU) offers courses and programs leading to officially recognized higher education degrees such as bachelor's degrees, master's degrees and doctorate degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 5-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  MIU also provides several academic and non-academic facilities and services to students including a library,  housing,  sports facilities,  financial aids and/or scholarships,  study abroad and exchange programs,  online courses and distance learning opportunities,  as well as administrative services.","{'name': 'Manipur International University', 'non_latin_name': None, 'acronym': 'MIU', 'founded': '2019', 'website': 'https://www.miu.ac', 'screenshot': '/i/screenshots/18925.jpg'}","{'street_address': 'MIU Palace, Airport Road, Ghari', 'locality': 'Imphal ', 'postal_code': '795140', 'region': 'Manipur', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/18925-manipur-international-university/'}"
796,Manipur Technical University,Imphal,"{'name': 'Manipur Technical University', 'logo': 'https://www.4icu.org/i/logos-seals/17779.png', 'country_rank': '796', 'world_rank': '11513', 'details_link': 'https://mtu.ac.in'}","Founded in 2016,  the Manipur Technical University is a non-profit public higher education institution located in the urban setting of the metropolis of Imphal (population range of 1,000,000-5,000,000 inhabitants), Manipur.   Officially recognized by the University Grants Commission of India, Manipur Technical University (MTU) is a coeducational Indian higher education institution. Manipur Technical University (MTU) offers courses and programs leading to officially recognized higher education degrees in several areas of study. See the uniRank degree levels and areas of study table below for further details. This 8-year-old Indian higher-education institution has a selective admission policy based on entrance examinations.  MTU also provides several academic and non-academic facilities and services to students including a library,  as well as administrative services.","{'name': 'Manipur Technical University', 'non_latin_name': 'मणिपुर तकनीकी विश्वविद्यालय', 'acronym': 'MTU', 'founded': '2016', 'website': 'https://mtu.ac.in', 'screenshot': '/i/screenshots/17779.jpg'}","{'street_address': 'Takyel Road, Takyel', 'locality': 'Imphal ', 'postal_code': '795 004', 'region': 'Manipur', 'country': 'India', 'phone_number': None, 'fax_number': None, 'location_map': 'https://www.4icu.org/maps/in/17779-manipur-technical-university/'}"
